,Duration,Epidemic,Rt
906,12.25,1,1.998
907,21.25,0,2
908,9.75,0,2
909,350.5,846,0.308
910,325.5,748,0.504
911,7.5,0,2
912,103.25,8,1.984
913,341,755,0.49
914,5.5,0,2
915,318.25,770,0.46
916,288.5,784,0.432
917,279.75,797,0.406
918,287,819,0.362
919,233.75,811,0.378
920,17.25,0,2
921,326,826,0.348
922,334.5,779,0.442
923,327,805,0.39
924,5,0,2
925,35.75,5,1.99
926,357.75,777,0.446
927,379.25,785,0.43
928,59,6,1.988
929,363.25,826,0.348
930,504.75,745,0.51
931,372,808,0.384
932,3.75,0,2
933,4.75,0,2
934,16.25,0,2
935,304,826,0.348
936,36.75,2,1.996
937,331,820,0.36
938,8.75,0,2
939,10.25,0,2
940,292,753,0.494
941,306.5,833,0.334
942,20,1,1.998
943,353.75,778,0.444
944,468.25,723,0.554
945,358.5,765,0.47
946,377.25,810,0.38
947,5.75,0,2
948,10.75,0,2
949,31.5,2,1.996
950,49.75,4,1.992
951,312.75,822,0.356
952,5,0,2
953,9,0,2
954,355,776,0.448
955,407,821,0.358
956,306.5,849,0.302
957,1.25,0,2
958,289,841,0.318
959,399.75,760,0.48
960,319.75,789,0.422
961,329.25,801,0.398
962,267.5,807,0.386
963,60.5,4,1.992
964,460.25,803,0.394
965,23.25,0,2
966,279,812,0.376
967,26.75,0,2
968,77.75,8,1.984
969,38.25,3,1.994
970,307.5,803,0.394
971,301.5,840,0.32
972,22.75,1,1.998
973,3.25,0,2
974,525,791,0.418
975,282,756,0.488
976,12,1,1.998
977,385.5,765,0.47
978,1.75,0,2
979,8.75,0,2
980,3,0,2
981,28,2,1.996
982,443,784,0.432
983,1.25,0,2
984,415.25,737,0.526
985,404.75,800,0.4
986,12.5,1,1.998
987,10.5,0,2
988,332,692,0.616
989,336.75,806,0.388
990,338.75,758,0.484
991,264,823,0.354
992,34.25,2,1.996
993,302.5,807,0.386
994,14,0,2
995,437.25,786,0.428
996,340.25,774,0.452
997,285.25,769,0.462
998,15.25,1,1.998
999,2.5,0,2
1000,19.5,0,2
1001,345.75,845,0.31
1002,293,782,0.436
1003,9,0,2
1004,409,765,0.47
1005,16.75,0,2
1006,4,0,2
1007,98.5,12,1.976
1008,371,809,0.382
1009,356,812,0.376
1010,368.25,786,0.428
1011,15,1,1.998
1012,19,0,2
1013,293.5,794,0.412
1014,337,802,0.396
1015,319,766,0.468
1016,14.25,1,1.998
1017,274.5,793,0.414
1018,394,823,0.354
1019,1,0,2
1020,12.25,0,2
1021,16.75,0,2
1022,307.25,805,0.39
1023,43,3,1.994
1024,9.25,0,2
1025,14.25,0,2
1026,358.5,804,0.392
1027,29,2,1.996
1028,349.5,838,0.324
1029,357.75,757,0.486
1030,319.75,771,0.458
1031,383.75,782,0.436
1032,408.25,821,0.358
1033,296.75,760,0.48
1034,31,3,1.994
1035,22.5,0,2
1036,317.75,797,0.406
1037,381,813,0.374
1038,11.5,0,2
1039,13,0,2
1040,15.25,0,2
1041,442.25,781,0.438
1042,20.5,0,2
1043,337.75,809,0.382
1044,11.25,0,2
1045,22.75,0,2
1046,12.25,0,2
1047,75.25,6,1.988
1048,5.25,0,2
1049,284.25,807,0.386
1050,439.5,788,0.424
1051,308,789,0.422
1052,298.25,818,0.364
1053,5.25,0,2
1054,353,695,0.61
1055,8.5,0,2
1056,317,790,0.42
1057,267.25,750,0.5
1058,9,0,2
1059,12.25,0,2
1060,19.25,0,2
1061,480.25,765,0.47
1062,356,782,0.436
1063,378,778,0.444
1064,326.5,848,0.304
1065,312,783,0.434
1066,314.5,766,0.468
1067,15.5,0,2
1068,386.25,732,0.536
1069,8.25,0,2
1070,365,830,0.34
1071,35,3,1.994
1072,31.25,2,1.996
1073,25,2,1.996
1074,354.75,825,0.35
1075,3.25,0,2
1076,306.25,785,0.43
1077,389,842,0.316
1078,15.25,0,2
1079,8.5,0,2
1080,400,780,0.44
1081,3,0,2
1082,332.75,803,0.394
1083,362.5,811,0.378
1084,282.5,789,0.422
1085,14.5,2,1.996
1086,1.75,0,2
1087,22.75,1,1.998
1088,354.5,822,0.356
1089,346.25,787,0.426
1090,8.5,0,2
1091,405.5,799,0.402
1092,3.75,0,2
1093,6.5,0,2
1094,8.75,0,2
1095,346.75,807,0.386
1096,332.5,782,0.436
1097,14,0,2
1098,281.25,800,0.4
1099,8.75,0,2
1100,10.75,0,2
1101,3.25,0,2
1102,2,0,2
1103,8.75,1,1.998
1104,342.75,828,0.344
1105,332.5,845,0.31
1106,7.5,0,2
1107,333,816,0.368
1108,345,795,0.41
1109,3.25,0,2
1110,1.25,0,2
1111,6.25,0,2
1112,285,786,0.428
1113,25.25,1,1.998
1114,299.75,815,0.37
1115,315,818,0.364
1116,1.25,0,2
1117,52,5,1.99
1118,292.25,750,0.5
1119,310,838,0.324
1120,65.5,2,1.996
1121,9,0,2
1122,12,0,2
1123,33.25,3,1.994
1124,245.5,842,0.316
1125,256,808,0.384
1126,282.75,742,0.516
1127,321.75,795,0.41
1128,20.75,0,2
1129,10.5,0,2
1130,298.75,786,0.428
1131,15.75,0,2
1132,20.5,0,2
1133,316.25,808,0.384
1134,341.75,746,0.508
1135,317.75,769,0.462
1136,390.5,765,0.47
1137,479.25,829,0.342
1138,57.75,3,1.994
1139,12,0,2
1140,355,807,0.386
1141,290,752,0.496
1142,286.75,775,0.45
1143,7.75,0,2
1144,6.25,0,2
1145,4.5,0,2
1146,312.75,794,0.412
1147,37.5,4,1.992
1148,18.5,0,2
1149,38.75,3,1.994
1150,0.75,0,2
1151,302.5,786,0.428
1152,266.5,816,0.368
1153,19.5,0,2
1154,16.25,2,1.996
1155,279.5,814,0.372
1156,18,1,1.998
1157,340,784,0.432
1158,7.5,0,2
1159,38,3,1.994
1160,28,1,1.998
1161,345.5,775,0.45
1162,343.25,759,0.482
1163,343.75,815,0.37
1164,19.75,2,1.996
1165,25.25,0,2
1166,420.5,839,0.322
1167,307.25,845,0.31
1168,295.75,803,0.394
1169,431.25,772,0.456
1170,459.5,769,0.462
1171,6,0,2
1172,13,1,1.998
1173,17.25,1,1.998
1174,12.5,0,2
1175,15,0,2
1176,28.5,4,1.992
1177,25.75,2,1.996
1178,0.75,0,2
1179,346.25,769,0.462
1180,33,7,1.986
1181,260.5,780,0.44
1182,12.25,0,2
1183,378,816,0.368
1184,9.75,0,2
1185,31.5,6,1.988
1186,333.5,777,0.446
1187,374,698,0.604
1188,348.5,763,0.474
1189,6,0,2
1190,349.5,782,0.436
1191,367,849,0.302
1192,85.25,13,1.974
1193,415.75,808,0.384
1194,282.75,825,0.35
1195,42.25,1,1.998
1196,318,699,0.602
1197,336,802,0.396
1198,352.25,796,0.408
1199,6,0,2
1200,10.5,1,1.998
1201,13.5,0,2
1202,324.25,789,0.422
1203,302.75,789,0.422
1204,309,777,0.446
1205,372,757,0.486
1206,317.25,805,0.39
1207,3.25,0,2
1208,384,760,0.48
1209,339.25,781,0.438
1210,353.25,828,0.344
1211,297.5,819,0.362
1212,51.75,5,1.99
1213,287.5,821,0.358
1214,258.5,770,0.46
1215,337.25,801,0.398
1216,294.75,823,0.354
1217,22.25,1,1.998
1218,4,0,2
1219,6,0,2
1220,331.75,765,0.47
1221,303.5,822,0.356
1222,23,1,1.998
1223,5.5,0,2
1224,12.75,0,2
1225,12.25,0,2
1226,343.5,790,0.42
1227,8.5,1,1.998
1228,1.75,0,2
1229,386.75,817,0.366
1230,326.5,786,0.428
1231,280.25,780,0.44
1232,390.25,763,0.474
1233,331,777,0.446
1234,38.5,1,1.998
1235,4.75,0,2
1236,339.25,791,0.418
1237,271,857,0.286
1238,18.75,0,2
1239,10.25,0,2
1240,18.5,1,1.998
1241,455,768,0.464
1242,45.5,3,1.994
1243,348.75,797,0.406
1244,412,806,0.388
1245,2.75,0,2
1246,9.5,0,2
1247,11.75,0,2
1248,302,812,0.376
1249,96.25,10,1.98
1250,374.75,758,0.484
1251,4,1,1.998
1252,17.75,1,1.998
1253,343.25,782,0.436
1254,393.75,757,0.486
1255,20,0,2
1256,23.5,0,2
1257,7,0,2
1258,10,0,2
1259,10.5,0,2
1260,365.75,758,0.484
1261,3.5,0,2
1262,22.25,0,2
1263,333.25,771,0.458
1264,297.75,837,0.326
1265,4.75,0,2
1266,74.25,8,1.984
