,Duration,Epidemic,ep_high,ep_low,Rt,delay,time_until_measure,measure occured
22,11.0,0.0,0.0,0.0,2.044,4.599389120110297,0.0,0.0
35,8.75,0.0,0.0,0.0,2.004,2.9737353966095927,0.0,0.0
2,16.5,0.0,0.0,0.0,1.996,2.6827425097144952,0.0,0.0
3,9.5,0.0,0.0,0.0,1.9340000000000002,0.3643839456987988,0.0,0.0
4,5.75,0.0,0.0,0.0,2.024,0.9755913271802944,0.0,0.0
25,7.25,0.0,0.0,0.0,2.026,1.6913096486492603,0.0,0.0
11,12.5,0.0,0.0,0.0,1.9760000000000002,6.624689437895651,0.0,0.0
7,13.25,0.0,0.0,0.0,2.006,0.7863374748737635,0.0,0.0
10,2.5,0.0,0.0,0.0,2.066,2.3896581509150137,0.0,0.0
32,8.0,0.0,0.0,0.0,1.9900000000000002,2.0790866787043116,0.0,0.0
0,44.25,1.0,1.0,0.0,1.973,2.1371143496543943,0.0,0.0
14,48.0,3.0,3.0,0.0,1.9549999999999998,5.1653450913988115,0.0,0.0
33,41.0,3.0,1.0,2.0,1.971,11.582847451452421,0.0,0.0
6,46.5,7.0,4.0,3.0,1.9450000000000003,0.2918008538132536,0.0,0.0
15,183.0,136.0,97.0,39.0,1.666,1.1943618742441051,80.19436187424411,1.0
31,172.0,170.0,123.0,47.0,1.556,4.489864285683154,82.48986428568315,1.0
5,222.5,176.0,128.0,48.0,1.512,1.3281179934525649,75.32811799345257,1.0
23,176.25,186.0,130.0,56.0,1.5779999999999998,4.8585245500823895,101.8585245500824,1.0
39,223.5,205.0,152.0,53.0,1.459,6.802333903701502,112.80233390370151,1.0
28,189.25,222.0,161.0,61.0,1.508,5.286158037323375,126.28615803732337,1.0
20,358.0,247.0,183.0,64.0,1.3949999999999998,3.2984227042084746,144.29842270420846,1.0
27,198.5,250.0,185.0,65.0,1.3719999999999999,6.060645238115899,74.0606452381159,1.0
16,264.5,253.0,188.0,65.0,1.407,1.7027990942114262,83.70279909421143,1.0
37,330.75,267.0,194.0,73.0,1.355,4.314019010870122,87.31401901087013,1.0
12,169.5,284.0,221.0,63.0,1.304,2.0903570603107138,52.090357060310716,1.0
36,287.5,301.0,222.0,79.0,1.283,5.360120464667208,170.3601204646672,1.0
9,233.0,319.0,238.0,81.0,1.205,1.6380639827537227,50.63806398275372,1.0
34,239.0,328.0,228.0,100.0,1.22,3.372987722288201,60.3729877222882,1.0
18,228.75,365.0,265.0,100.0,1.173,7.471541716707325,62.47154171670732,1.0
21,274.5,366.0,253.0,113.0,1.102,1.158703099267292,73.15870309926729,1.0
17,233.0,367.0,258.0,109.0,1.145,17.3275425283802,98.3275425283802,1.0
26,252.5,373.0,261.0,112.0,1.125,0.5337134723842727,72.53371347238428,1.0
29,293.0,376.0,278.0,98.0,1.0939999999999999,4.1026242019535895,76.10262420195359,1.0
1,317.25,378.0,258.0,120.0,1.0939999999999999,1.2340174578492638,92.23401745784926,1.0
19,245.5,379.0,251.0,128.0,1.095,5.901981715738333,56.90198171573833,1.0
13,345.5,399.0,296.0,103.0,1.0550000000000002,7.06680547870986,102.06680547870985,1.0
24,240.25,400.0,294.0,106.0,1.0,6.09667493141392,61.09667493141392,1.0
38,233.75,416.0,308.0,108.0,1.056,10.10666698539738,108.10666698539738,1.0
30,192.0,434.0,304.0,130.0,0.972,7.158486042870509,60.15848604287051,1.0
8,394.25,437.0,322.0,115.0,0.941,3.6519483490461715,57.65194834904617,1.0
