,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,205.275,135.01,117.07  -  293.48,7.0,337.25
1,Epidemic,231.2,183.94,111.03  -  351.37,0.0,493.0
2,Epidemic high,163.7,128.35,79.85  -  247.55,0.0,339.0
3,Epidemic low,67.5,55.96,30.94  -  104.06,0.0,154.0
