,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,127.71,121.87299654325466,119.07065233524408  -  136.3493476647559,0.5,369.75
1,Epidemic,397.355,401.82044162978787,368.87070411404943  -  425.8392958859506,0.0,873.0
