,Range,PDF,CDF
0,0.0,0.482,0.482
1,50.0,0.0,0.482
2,100.0,0.0,0.482
3,150.0,0.0,0.482
4,200.0,0.0,0.482
5,250.0,0.0,0.482
6,300.0,0.0,0.482
7,350.0,0.0,0.482
8,400.0,0.0,0.482
9,450.0,0.0,0.482
10,500.0,0.0,0.482
11,550.0,0.0,0.482
12,600.0,0.0,0.482
13,650.0,0.0,0.482
14,700.0,0.02,0.502
15,750.0,0.233,0.735
16,800.0,0.255,0.99
17,850.0,0.01,1.0
18,900.0,0.0,1.0
19,950.0,0.0,1.0
