,Duration,Epidemic,ep_high,ep_low,Rt,delay,time_until_measure,measure occured
29,12.75,0.0,0.0,0.0,1.8015810363871123,8.955992429844802,0.0,0.0
28,9.5,0.0,0.0,0.0,1.680850896331812,1.2390968342770166,0.0,0.0
16,28.75,0.0,0.0,0.0,1.7251019470071507,8.810511775637739,0.0,0.0
15,12.5,0.0,0.0,0.0,1.8384065269709888,1.1149009750396248,0.0,0.0
14,5.75,0.0,0.0,0.0,1.562867821449387,0.20823005347159854,0.0,0.0
58,22.0,0.0,0.0,0.0,1.5029491401260415,8.99174008955964,0.0,0.0
12,10.75,0.0,0.0,0.0,1.6223316255274038,11.639956022683414,0.0,0.0
30,12.25,0.0,0.0,0.0,2.1267575900883258,4.0291353460837005,0.0,0.0
19,18.5,0.0,0.0,0.0,1.5810401088942454,0.8291671929479144,0.0,0.0
10,12.0,0.0,0.0,0.0,1.7794461158260073,2.8059296334327892,0.0,0.0
42,5.5,0.0,0.0,0.0,1.856139949644423,7.727834650640127,0.0,0.0
47,25.25,0.0,0.0,0.0,1.7352551307626396,3.3632999528404888,0.0,0.0
48,17.25,0.0,0.0,0.0,2.344814450944565,1.7553727302581548,0.0,0.0
4,14.5,0.0,0.0,0.0,2.396626438225332,2.0545051170784943,0.0,0.0
51,15.25,0.0,0.0,0.0,1.86070794011521,4.2240625636077045,0.0,0.0
56,10.25,0.0,0.0,0.0,1.665147872584061,0.03226008914386608,0.0,0.0
1,10.5,0.0,0.0,0.0,1.617485239301475,3.646532631085152,0.0,0.0
9,25.75,0.0,0.0,0.0,1.909414813430106,1.4901298719259026,0.0,0.0
23,4.25,0.0,0.0,0.0,1.898780446896581,7.060834261437519,0.0,0.0
43,28.5,1.0,1.0,0.0,1.6246683553036647,11.395443354941435,0.0,0.0
25,20.5,1.0,1.0,0.0,1.8828606881579255,4.538266695924966,0.0,0.0
0,40.75,1.0,0.0,1.0,2.2520961349080943,0.5632448128721542,0.0,0.0
13,8.5,1.0,1.0,0.0,1.7357105861041981,2.101290193380058,0.0,0.0
41,40.0,2.0,2.0,0.0,1.984176967706986,3.3098680234082156,0.0,0.0
50,38.5,4.0,4.0,0.0,1.491705819796166,0.5047293836329856,0.0,0.0
31,64.5,4.0,4.0,0.0,1.7296181074212376,0.7333715425222965,0.0,0.0
35,65.25,4.0,3.0,1.0,2.157277561861976,9.74012894354057,0.0,0.0
11,224.75,177.0,142.0,35.0,0.8639768270954072,0.016233922305733017,84.01623392230573,1.0
27,219.75,185.0,127.0,58.0,0.751554534171247,1.14969411672214,75.14969411672215,1.0
24,308.0,191.0,149.0,42.0,0.711963575584498,1.2651469753346227,80.26514697533462,1.0
2,289.5,197.0,149.0,48.0,0.6285305304333564,6.682184253076299,112.6821842530763,1.0
5,324.5,203.0,156.0,47.0,0.6189135869235465,2.336734805453436,117.33673480545343,1.0
17,320.25,206.0,136.0,70.0,0.6177965461667132,0.03057144887286117,134.03057144887285,1.0
22,220.0,208.0,159.0,49.0,0.7092838987580417,1.0720993246392434,80.07209932463924,1.0
53,289.5,211.0,149.0,62.0,0.6485389275527426,1.065157435516191,110.06515743551618,1.0
59,266.75,215.0,160.0,55.0,0.5419907784911137,17.68193498487069,129.68193498487068,1.0
8,215.0,217.0,164.0,53.0,0.6290428583173712,0.05580578001570882,97.0558057800157,1.0
33,301.0,219.0,171.0,48.0,0.6607877072752553,0.03312493834782733,150.03312493834784,1.0
3,323.0,241.0,163.0,78.0,0.5942598010584936,0.8168814253944028,99.8168814253944,1.0
39,263.25,248.0,180.0,68.0,0.7040371980977062,1.4364825797403638,97.43648257974036,1.0
7,250.0,249.0,169.0,80.0,0.616897280500239,10.437066884229882,100.43706688422988,1.0
32,219.75,254.0,201.0,53.0,0.6645010832262241,4.882867218592564,104.88286721859257,1.0
55,354.25,262.0,193.0,69.0,0.6641729520844832,0.5868817674165817,115.58688176741659,1.0
44,203.25,286.0,219.0,67.0,0.7433107451420531,1.129055762933698,56.129055762933696,1.0
20,220.25,289.0,214.0,75.0,0.6393678643626153,9.315153381634198,79.3151533816342,1.0
38,234.75,290.0,192.0,98.0,0.6874085806883037,0.7955469950868738,104.79554699508688,1.0
49,324.25,290.0,203.0,87.0,0.6162411731218196,2.864367863991093,176.8643678639911,1.0
52,210.0,297.0,223.0,74.0,0.648909718136169,0.21722579228059402,54.217225792280594,1.0
37,247.5,309.0,230.0,79.0,0.6738209779258771,5.1826258328397445,99.18262583283975,1.0
6,301.5,317.0,229.0,88.0,0.635590748134814,0.47533667896813403,79.47533667896813,1.0
54,332.5,327.0,214.0,113.0,0.6214434421784341,7.981721633493857,93.98172163349386,1.0
26,246.0,339.0,245.0,94.0,0.6208915562517544,2.813049239647934,42.81304923964793,1.0
18,293.25,342.0,244.0,98.0,0.639404631106151,0.052082150976681695,83.05208215097669,1.0
46,337.0,350.0,258.0,92.0,0.5969422976834863,5.253654391924874,134.25365439192487,1.0
34,285.25,362.0,246.0,116.0,0.5900091017364548,0.09458078585474143,81.09458078585475,1.0
57,268.0,362.0,263.0,99.0,0.6895843340500033,0.5346050755805796,92.53460507558059,1.0
36,297.5,366.0,230.0,136.0,0.6059314492797816,1.4194432953559646,91.41944329535596,1.0
21,252.0,391.0,286.0,105.0,0.6717509928717903,2.280532763413965,53.280532763413966,1.0
45,246.25,417.0,295.0,122.0,0.6066568693103015,0.7538502523638196,69.75385025236382,1.0
40,280.0,454.0,309.0,145.0,0.5406521376193436,1.8763022395171425,94.87630223951714,1.0
