,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,139.8,118.05,86.72  -  192.88,4.25,289.25
1,Epidemic,126.2,144.21,61.36  -  191.04,0.0,398.0
2,ep_high,90.0,102.07,44.11  -  135.89,0.0,281.0
3,ep_low,36.2,42.63,17.03  -  55.37,0.0,117.0
4,delay,3.1379786897923783,3.46,1.58  -  4.69,0.1025803187123229,11.20859765614501
5,time_until_measure,36.96745794056197,38.64,19.59  -  54.34,0.0,92.87837129234512
6,measure occured,0.5,0.51,0.27  -  0.73,0.0,1.0
