,Duration,Epidemic
999,20.0,0.0
418,17.0,0.0
407,30.0,0.0
405,11.75,0.0
401,7.25,0.0
400,18.0,0.0
399,14.25,0.0
398,12.25,0.0
393,16.75,0.0
392,12.75,0.0
391,18.5,0.0
956,8.25,0.0
384,32.25,0.0
379,14.0,0.0
370,7.75,0.0
363,17.25,0.0
958,15.75,0.0
361,12.75,0.0
420,8.0,0.0
422,9.5,0.0
423,9.25,0.0
426,13.0,0.0
515,27.5,0.0
512,7.0,0.0
493,3.75,0.0
491,12.75,0.0
489,8.25,0.0
483,11.75,0.0
470,19.75,0.0
466,10.5,0.0
360,12.75,0.0
464,32.5,0.0
457,12.0,0.0
901,38.75,0.0
951,5.0,0.0
446,18.75,0.0
442,16.0,0.0
441,7.5,0.0
440,14.5,0.0
437,8.25,0.0
462,5.75,0.0
350,13.5,0.0
349,9.5,0.0
960,9.75,0.0
256,7.0,0.0
255,6.5,0.0
253,19.5,0.0
969,14.5,0.0
248,19.25,0.0
238,10.75,0.0
234,6.75,0.0
233,14.0,0.0
267,7.0,0.0
226,11.25,0.0
219,12.75,0.0
214,9.5,0.0
213,11.75,0.0
206,12.0,0.0
204,11.25,0.0
201,15.25,0.0
194,9.75,0.0
188,9.25,0.0
221,22.75,0.0
516,33.0,0.0
272,20.75,0.0
286,19.0,0.0
343,27.25,0.0
961,17.75,0.0
339,15.25,0.0
338,7.5,0.0
335,10.0,0.0
334,4.25,0.0
328,21.25,0.0
322,13.25,0.0
276,8.25,0.0
318,19.5,0.0
311,18.0,0.0
308,7.5,0.0
305,8.75,0.0
304,17.5,0.0
302,9.0,0.0
300,12.75,0.0
299,11.75,0.0
296,19.0,0.0
315,19.0,0.0
519,5.5,0.0
529,24.5,0.0
531,13.25,0.0
808,9.5,0.0
807,11.25,0.0
803,22.5,0.0
800,6.5,0.0
794,26.5,0.0
793,10.25,0.0
784,12.0,0.0
778,20.0,0.0
809,11.5,0.0
776,11.25,0.0
921,16.5,0.0
759,12.0,0.0
758,6.25,0.0
757,5.25,0.0
744,10.0,0.0
743,8.75,0.0
740,9.5,0.0
737,22.25,0.0
774,17.25,0.0
733,17.25,0.0
810,16.75,0.0
817,24.75,0.0
900,15.25,0.0
899,9.0,0.0
894,20.0,0.0
892,10.5,0.0
890,11.0,0.0
889,12.25,0.0
885,16.75,0.0
874,14.25,0.0
816,22.25,0.0
871,9.25,0.0
857,10.0,0.0
855,8.5,0.0
853,14.5,0.0
850,15.0,0.0
845,13.0,0.0
841,5.5,0.0
836,15.75,0.0
824,27.5,0.0
860,11.25,0.0
179,10.25,0.0
730,12.75,0.0
718,12.0,0.0
604,10.5,0.0
601,14.75,0.0
594,13.75,0.0
593,16.0,0.0
939,9.5,0.0
591,22.75,0.0
582,11.25,0.0
576,19.25,0.0
610,13.0,0.0
572,26.5,0.0
562,6.75,0.0
560,6.25,0.0
941,27.75,0.0
546,16.75,0.0
544,12.75,0.0
543,6.75,0.0
539,34.5,0.0
535,5.75,0.0
569,18.25,0.0
720,23.0,0.0
614,16.5,0.0
622,25.75,0.0
713,12.75,0.0
706,11.75,0.0
704,24.5,0.0
703,9.75,0.0
684,12.75,0.0
683,15.75,0.0
677,13.0,0.0
675,17.5,0.0
619,10.0,0.0
674,15.25,0.0
669,9.25,0.0
665,2.25,0.0
655,15.25,0.0
931,13.5,0.0
647,7.75,0.0
643,13.5,0.0
632,20.25,0.0
629,33.25,0.0
672,5.0,0.0
176,29.75,0.0
451,4.75,0.0
16,18.25,0.0
165,20.25,0.0
25,9.5,0.0
54,17.5,0.0
164,16.0,0.0
989,19.75,0.0
58,10.75,0.0
59,5.5,0.0
60,13.25,0.0
21,8.0,0.0
63,31.25,0.0
4,25.75,0.0
66,20.25,0.0
158,5.5,0.0
69,9.25,0.0
977,9.75,0.0
154,13.25,0.0
84,15.0,0.0
136,11.0,0.0
134,6.25,0.0
138,19.25,0.0
140,15.75,0.0
118,29.5,0.0
11,13.75,0.0
975,8.25,0.0
105,17.75,0.0
148,10.5,0.0
995,20.5,0.0
17,5.0,0.0
7,11.0,0.0
151,11.5,0.0
89,12.5,0.0
103,21.75,0.0
26,24.75,0.0
8,25.0,0.0
43,3.5,0.0
41,9.75,0.0
48,22.75,0.0
171,12.25,0.0
974,9.5,0.0
100,49.5,1.0
454,21.75,1.0
292,30.0,1.0
98,27.75,1.0
949,18.25,1.0
482,17.0,1.0
693,20.25,1.0
903,31.5,1.0
280,20.25,1.0
739,28.0,1.0
799,27.0,1.0
518,23.0,1.0
174,29.0,1.0
93,27.75,1.0
281,21.25,1.0
