,Range,PDF,CDF
0,0.0,0.492,0.492
1,50.0,0.0,0.492
2,100.0,0.0,0.492
3,150.0,0.0,0.492
4,200.0,0.0,0.492
5,250.0,0.0,0.492
6,300.0,0.0,0.492
7,350.0,0.0,0.492
8,400.0,0.0,0.492
9,450.0,0.0,0.492
10,500.0,0.0,0.492
11,550.0,0.0,0.492
12,600.0,0.0,0.492
13,650.0,0.002,0.494
14,700.0,0.014,0.508
15,750.0,0.225,0.733
16,800.0,0.25,0.983
17,850.0,0.017,1.0
18,900.0,0.0,1.0
19,950.0,0.0,1.0
