,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,172.44166666666666,134.29,123.56  -  221.32,4.25,418.5
1,Epidemic,170.03333333333333,155.59,113.41  -  226.66,0.0,434.0
2,ep_high,120.86666666666666,110.36,80.70  -  161.03,0.0,315.0
3,ep_low,49.166666666666664,45.57,32.58  -  65.75,0.0,119.0
4,Rt,1.1708260369858499,0.65,0.94  -  1.41,0.5554325764801188,2.5091871099337637
5,delay,0.0,0.00,0.00  -  0.00,0.0,0.0
6,time_until_measure,48.5,44.45,32.32  -  64.68,0.0,128.0
7,measure occured,0.6,0.50,0.42  -  0.78,0.0,1.0
