,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,219.625,6.67,212.07  -  227.18,211.5,227.75
1,Epidemic,351.0,128.14,206.00  -  496.00,244.0,511.0
2,ep_high,243.25,72.97,160.67  -  325.83,178.0,330.0
3,ep_low,107.75,55.64,44.79  -  170.71,63.0,181.0
4,delay,6.210375151089017,4.87,0.70  -  11.72,0.36680700638803004,12.065968965833001
5,time_until_measure,0.0,0.00,0.00  -  0.00,0.0,0.0
6,measure occured,1.0,0.00,1.00  -  1.00,1.0,1.0
