,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,185.6605,117.94288507107535,181.92895225308905  -  189.39204774691098,2.25,376.75
1,Epidemic,538.773,374.8932280041924,526.9119031695452  -  550.6340968304548,0.0,863.0
