,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,169.30625,121.76,131.09  -  207.52,2.5,394.25
1,Epidemic,201.2,165.25,149.34  -  253.06,0.0,437.0
2,ep_high,145.175,118.98,107.83  -  182.52,0.0,322.0
3,ep_low,56.025,46.97,41.28  -  70.77,0.0,130.0
4,Rt,1.51455,0.39,1.39  -  1.64,0.941,2.066
5,delay,4.1987878334575335,3.43,3.12  -  5.27,0.2918008538132536,17.3275425283802
6,time_until_measure,55.565187047540775,47.46,40.67  -  70.46,0.0,170.3601204646672
7,measure occured,0.65,0.48,0.50  -  0.80,0.0,1.0
