,Measurement,mean,Std. Dev,Conf. Int (avg),Min,Max
0,Duration,159.1375,129.96,125.98  -  192.30,4.25,354.25
1,Epidemic,154.81666666666666,150.60,116.39  -  193.25,0.0,454.0
2,ep_high,111.4,107.28,84.02  -  138.78,0.0,309.0
3,ep_low,43.416666666666664,44.50,32.06  -  54.77,0.0,145.0
4,Rt,1.1802997336184784,0.61,1.02  -  1.34,0.5406521376193436,2.396626438225332
5,delay,3.4242306194601793,3.82,2.45  -  4.40,0.016233922305733017,17.68193498487069
6,time_until_measure,52.92646669993987,52.61,39.50  -  66.35,0.0,176.8643678639911
7,measure occured,0.55,0.50,0.42  -  0.68,0.0,1.0
