r.num,Epidemic,Duration,
798,0.00,16.00,
799,826.00,280.50,
800,1.00,32.00,
801,773.00,311.50,
802,4.00,45.50,
803,783.00,266.00,
804,0.00,21.50,
805,795.00,265.50,
806,2.00,30.00,
807,781.00,307.00,
808,4.00,46.00,
809,0.00,8.00,
810,792.00,246.50,
811,832.00,217.50,
812,776.00,261.00,
813,0.00,27.50,
814,788.00,261.00,
815,0.00,9.00,
816,775.00,259.50,
817,4.00,45.00,
818,815.00,374.00,
819,0.00,13.50,
820,804.00,249.00,
821,0.00,5.00,
822,1.00,17.00,
823,759.00,370.00,
824,771.00,198.00,
825,0.00,6.00,
826,779.00,281.50,
827,792.00,236.50,
828,789.00,245.50,
829,775.00,238.00,
830,796.00,252.50,
831,774.00,243.00,
832,3.00,27.50,
833,0.00,11.00,
834,811.00,268.00,
835,799.00,274.00,
836,791.00,250.00,
837,846.00,231.00,
838,803.00,261.00,
839,770.00,212.50,
840,810.00,202.00,
841,813.00,261.50,
842,796.00,280.50,
843,819.00,338.00,
844,0.00,9.50,
845,0.00,7.00,
846,756.00,272.50,
847,0.00,9.00,
848,0.00,15.50,
849,3.00,32.50,
850,830.00,233.00,
851,789.00,263.00,
852,1.00,10.00,
853,2.00,50.50,
854,801.00,271.00,
855,797.00,231.50,
856,805.00,283.00,
857,812.00,240.00,
858,802.00,221.50,
859,0.00,32.00,
860,1.00,29.00,
861,0.00,26.50,
862,785.00,243.50,
863,0.00,13.50,
864,0.00,13.00,
865,0.00,13.50,
866,822.00,233.00,
867,824.00,263.50,
868,730.00,280.00,
869,823.00,242.00,
870,0.00,11.00,
871,775.00,241.00,
872,818.00,264.50,
873,763.00,278.00,
874,845.00,238.00,
875,0.00,14.50,
876,825.00,249.50,
877,0.00,16.50,
878,796.00,239.00,
879,0.00,8.00,
880,0.00,18.00,
881,778.00,300.00,
882,758.00,301.50,
883,814.00,212.00,
884,798.00,293.50,
885,738.00,297.00,
886,722.00,235.00,
887,822.00,293.50,
888,0.00,30.50,
889,1.00,10.50,
890,794.00,281.50,
891,824.00,217.00,
892,799.00,240.00,
893,1.00,17.00,
894,806.00,198.00,
895,799.00,213.50,
896,739.00,258.00,
897,830.00,341.00,
898,0.00,8.00,
899,784.00,205.00,
900,0.00,9.00,
901,803.00,236.50,
902,1.00,30.50,
903,0.00,33.50,
904,767.00,263.00,
905,801.00,268.50,
906,0.00,19.00,
907,0.00,17.00,
908,782.00,274.50,
909,807.00,232.50,
910,787.00,246.50,
911,6.00,59.00,
912,1.00,38.50,
913,820.00,249.50,
914,814.00,261.00,
915,3.00,94.00,
916,0.00,16.50,
917,742.00,298.50,
918,779.00,263.50,
919,751.00,296.50,
920,814.00,281.50,
921,758.00,201.00,
922,0.00,10.50,
923,800.00,231.00,
924,817.00,269.50,
925,817.00,181.00,
926,763.00,268.50,
927,759.00,291.50,
928,783.00,267.00,
929,0.00,32.00,
930,1.00,18.00,
931,780.00,283.00,
932,773.00,245.00,
933,799.00,249.00,
934,778.00,309.50,
935,799.00,243.00,
936,788.00,274.50,
937,837.00,231.50,
938,1.00,18.50,
939,822.00,240.50,
940,0.00,25.50,
941,0.00,24.50,
942,807.00,219.50,
943,0.00,13.50,
944,1.00,22.50,
945,803.00,224.50,
946,793.00,240.50,
947,799.00,292.50,
948,0.00,11.00,
949,786.00,334.50,
950,812.00,212.00,
951,776.00,231.50,
952,806.00,266.00,
953,1.00,14.50,
954,822.00,220.00,
955,779.00,261.50,
956,819.00,308.00,
957,816.00,234.50,
958,0.00,16.50,
959,0.00,16.50,
960,0.00,16.00,
961,756.00,305.00,
962,0.00,20.50,
963,847.00,272.00,
964,800.00,249.50,
965,0.00,25.00,
966,0.00,15.00,
967,3.00,49.50,
968,4.00,29.50,
969,807.00,315.50,
970,770.00,262.50,
971,817.00,225.50,
972,827.00,229.00,
973,0.00,27.00,
974,800.00,294.00,
975,0.00,15.00,
976,1.00,27.50,
977,831.00,263.50,
978,1.00,30.00,
979,0.00,12.00,
980,2.00,42.50,
981,0.00,5.50,
982,0.00,10.50,
983,809.00,227.00,
984,0.00,17.50,
985,813.00,269.00,
986,769.00,255.00,
987,759.00,231.00,
988,0.00,19.00,
989,801.00,305.00,
990,788.00,245.50,
991,0.00,6.00,
992,793.00,342.00,
993,802.00,220.50,
994,811.00,272.50,
995,3.00,63.50,
996,778.00,242.50,
997,778.00,241.50,
998,777.00,234.00,
999,1.00,27.00,
1000,818.00,274.50,
1001,794.00,282.00,
1002,804.00,290.00,
1003,813.00,277.00,
1004,833.00,208.00,
1005,801.00,243.00,
1006,792.00,270.00,
1007,760.00,241.50,
1008,0.00,18.00,
1009,827.00,217.50,
1010,782.00,245.00,
1011,813.00,263.50,
1012,817.00,233.50,
1013,0.00,20.00,
1014,761.00,350.00,
1015,775.00,261.50,
1016,803.00,256.00,
1017,756.00,260.50,
1018,751.00,254.50,
1019,0.00,25.50,
1020,812.00,219.00,
1021,820.00,227.50,
1022,3.00,33.00,
1023,791.00,242.50,
1024,783.00,244.00,
1025,3.00,28.50,
1026,825.00,266.50,
1027,0.00,9.00,
1028,814.00,230.50,
1029,843.00,208.00,
1030,3.00,32.50,
1031,0.00,11.00,
1032,0.00,15.00,
1033,0.00,11.50,
1034,773.00,242.00,
1035,819.00,223.00,
1036,800.00,220.00,
1037,794.00,267.00,
1038,834.00,239.50,
1039,0.00,18.50,
1040,0.00,6.50,
1041,1.00,17.50,
1042,802.00,237.50,
1043,830.00,232.00,
1044,0.00,32.00,
1045,817.00,211.00,
1046,811.00,253.00,
1047,4.00,34.00,
1048,824.00,237.00,
1049,0.00,11.00,
1050,754.00,286.50,
1051,0.00,27.50,
1052,1.00,14.00,
1053,802.00,247.00,
1054,860.00,278.50,
1055,0.00,11.50,
1056,0.00,10.00,
1057,789.00,261.50,
1058,800.00,239.00,
1059,828.00,278.50,
1060,765.00,277.00,
1061,0.00,25.50,
1062,0.00,16.50,
1063,4.00,30.50,
1064,792.00,290.00,
1065,795.00,233.50,
1066,777.00,244.00,
1067,788.00,314.00,
1068,807.00,273.00,
1069,837.00,297.50,
1070,785.00,337.50,
1071,5.00,59.50,
1072,817.00,218.00,
1073,0.00,12.50,
1074,0.00,9.00,
1075,829.00,235.00,
1076,808.00,269.00,
1077,0.00,6.00,
1078,778.00,251.50,
1079,791.00,227.50,
1080,0.00,7.50,
1081,797.00,249.50,
1082,803.00,254.50,
1083,0.00,12.50,
1084,788.00,253.00,
1085,1.00,26.50,
1086,1.00,13.50,
1087,819.00,226.00,
1088,0.00,22.50,
1089,775.00,312.50,
1090,1.00,19.00,
1091,1.00,36.50,
1092,0.00,24.50,
1093,0.00,10.50,
1094,1.00,19.00,
1095,8.00,87.00,
1096,831.00,242.50,
1097,792.00,227.00,
1098,813.00,289.50,
1099,801.00,216.00,
1100,815.00,221.00,
1101,817.00,301.00,
1102,835.00,290.50,
1103,794.00,261.50,
1104,787.00,254.50,
1105,798.00,301.50,
1106,1.00,37.00,
1107,3.00,20.50,
1108,10.00,81.50,
1109,795.00,210.00,
1110,801.00,284.00,
1111,2.00,36.00,
1112,5.00,30.50,
1113,806.00,248.50,
1114,0.00,18.00,
1115,0.00,26.00,
1116,785.00,335.50,
1117,811.00,291.50,
1118,0.00,8.50,
1119,799.00,232.00,
1120,783.00,255.50,
1121,809.00,241.00,
1122,0.00,22.50,
1123,806.00,279.00,
1124,745.00,254.50,
1125,796.00,214.00,
1126,807.00,266.50,
1127,823.00,203.50,
1128,806.00,287.50,
1129,4.00,69.00,
1130,772.00,217.00,
1131,6.00,45.00,
1132,7.00,75.50,
1133,0.00,22.00,
1134,797.00,254.00,
1135,794.00,371.50,
1136,775.00,260.00,
1137,812.00,231.50,
1138,0.00,4.50,
1139,811.00,275.50,
1140,814.00,202.00,
1141,0.00,13.50,
1142,752.00,299.50,
1143,792.00,272.00,
1144,0.00,14.50,
1145,850.00,211.00,
1146,824.00,290.50,
1147,1.00,33.00,
1148,776.00,282.00,
1149,775.00,305.50,
1150,824.00,249.00,
1151,0.00,16.50,
1152,1.00,27.50,
1153,789.00,235.00,
1154,791.00,307.00,
1155,0.00,11.50,
1156,803.00,258.00,
1157,1.00,23.50,
1158,806.00,240.00,
1159,0.00,24.50,
1160,824.00,201.50,
1161,0.00,9.50,
1162,795.00,315.00,
1163,817.00,263.00,
1164,801.00,295.00,
1165,802.00,282.50,
1166,0.00,3.50,
1167,1.00,11.00,
1168,829.00,252.50,
1169,805.00,228.00,
1170,0.00,23.00,
1171,810.00,240.50,
1172,0.00,41.50,
1173,2.00,46.00,
1174,809.00,259.50,
1175,804.00,333.50,
1176,782.00,274.00,
1177,784.00,298.50,
1178,804.00,254.50,
1179,0.00,7.00,
1180,768.00,258.00,
1181,777.00,284.00,
1182,799.00,278.50,
1183,788.00,276.50,
1184,800.00,333.50,
1185,825.00,214.50,
1186,814.00,304.00,
1187,795.00,254.50,
1188,822.00,241.50,
1189,805.00,239.50,
1190,1.00,64.00,
1191,791.00,251.50,
1192,771.00,230.50,
1193,0.00,11.50,
1194,784.00,272.50,
1195,0.00,10.50,
1196,813.00,279.00,
1197,788.00,280.00,
1198,4.00,37.50,
1199,858.00,207.00,
1200,699.00,322.00,
1201,782.00,238.00,
1202,783.00,248.50,
1203,1.00,40.00,
1204,783.00,221.00,
1205,774.00,268.50,
1206,781.00,236.50,
1207,2.00,18.00,
1208,0.00,20.50,
1209,772.00,254.50,
1210,825.00,245.00,
1211,805.00,258.00,
1212,783.00,339.50,
1213,774.00,299.50,
1214,775.00,332.50,
1215,802.00,237.50,
1216,802.00,221.50,
1217,0.00,5.50,
1218,0.00,16.50,
1219,0.00,20.00,
1220,775.00,269.50,
1221,822.00,239.00,
1222,1.00,26.00,
1223,805.00,214.00,
1224,830.00,226.50,
1225,0.00,24.00,
1226,808.00,296.00,
1227,0.00,30.50,
1228,0.00,10.50,
1229,803.00,284.00,
1230,843.00,219.00,
1231,827.00,308.50,
1232,2.00,28.50,
1233,0.00,7.00,
1234,3.00,38.00,
1235,1.00,33.00,
1236,0.00,18.00,
1237,774.00,327.00,
1238,783.00,290.50,
1239,799.00,259.00,
1240,9.00,59.50,
1241,753.00,236.50,
1242,0.00,27.00,
1243,799.00,224.50,
1244,787.00,262.50,
