r.num,Duration,Epidemic,Rt,
213,340.25,773.00,0.45,
214,187.50,773.00,0.45,
215,35.50,3.00,1.99,
216,0.25,0.00,2.00,
217,1.75,0.00,2.00,
218,302.50,811.00,0.38,
219,216.25,833.00,0.33,
220,212.25,776.00,0.45,
221,2.50,1.00,2.00,
222,226.75,818.00,0.36,
223,271.25,781.00,0.44,
224,9.25,1.00,2.00,
225,285.00,839.00,0.32,
226,4.75,1.00,2.00,
227,28.75,5.00,1.99,
228,16.50,1.00,2.00,
229,221.25,799.00,0.40,
230,10.50,0.00,2.00,
231,0.25,0.00,2.00,
232,206.00,816.00,0.37,
233,19.75,2.00,2.00,
234,265.75,798.00,0.40,
235,338.50,816.00,0.37,
236,253.00,823.00,0.35,
237,2.50,0.00,2.00,
238,259.00,828.00,0.34,
239,208.25,775.00,0.45,
240,275.00,787.00,0.43,
241,311.75,816.00,0.37,
242,246.00,757.00,0.49,
243,327.50,822.00,0.36,
244,254.25,789.00,0.42,
245,201.75,803.00,0.39,
246,193.25,786.00,0.43,
247,238.75,788.00,0.42,
248,253.25,798.00,0.40,
249,245.00,824.00,0.35,
250,5.75,0.00,2.00,
251,202.00,766.00,0.47,
252,276.50,769.00,0.46,
253,293.50,835.00,0.33,
254,11.75,0.00,2.00,
255,8.25,0.00,2.00,
256,2.25,0.00,2.00,
257,11.00,0.00,2.00,
258,240.25,821.00,0.36,
259,4.00,0.00,2.00,
260,4.25,0.00,2.00,
261,183.00,757.00,0.49,
262,4.00,1.00,2.00,
263,192.00,754.00,0.49,
264,281.50,828.00,0.34,
265,218.75,772.00,0.46,
266,235.50,796.00,0.41,
267,283.00,836.00,0.33,
268,316.75,798.00,0.40,
269,229.75,830.00,0.34,
270,3.50,0.00,2.00,
271,221.50,844.00,0.31,
272,251.50,785.00,0.43,
273,0.75,0.00,2.00,
274,5.00,1.00,2.00,
275,279.75,749.00,0.50,
276,153.75,782.00,0.44,
277,235.75,792.00,0.42,
278,247.75,817.00,0.37,
279,228.25,819.00,0.36,
280,3.00,0.00,2.00,
281,245.75,828.00,0.34,
282,2.00,0.00,2.00,
283,242.75,788.00,0.42,
284,1.25,0.00,2.00,
285,0.50,0.00,2.00,
286,295.00,790.00,0.42,
287,203.25,822.00,0.36,
288,272.50,770.00,0.46,
289,323.75,773.00,0.45,
290,259.25,813.00,0.37,
291,0.50,0.00,2.00,
292,26.50,8.00,1.98,
293,2.75,0.00,2.00,
294,245.00,827.00,0.35,
295,31.50,0.00,2.00,
296,245.00,821.00,0.36,
297,20.75,2.00,2.00,
298,10.25,0.00,2.00,
299,266.75,797.00,0.41,
300,9.00,1.00,2.00,
301,277.00,763.00,0.47,
302,279.25,800.00,0.40,
303,1.50,0.00,2.00,
304,262.25,834.00,0.33,
305,19.00,0.00,2.00,
306,208.50,806.00,0.39,
307,342.50,847.00,0.31,
308,342.75,732.00,0.54,
309,11.25,0.00,2.00,
310,242.00,828.00,0.34,
311,1.75,0.00,2.00,
312,211.00,787.00,0.43,
313,251.25,844.00,0.31,
314,1.00,0.00,2.00,
315,15.00,2.00,2.00,
316,230.50,777.00,0.45,
317,22.00,6.00,1.99,
318,17.50,1.00,2.00,
319,237.75,835.00,0.33,
320,0.75,0.00,2.00,
321,1.00,0.00,2.00,
322,5.50,0.00,2.00,
323,19.00,0.00,2.00,
324,11.25,0.00,2.00,
325,6.00,0.00,2.00,
326,247.00,810.00,0.38,
327,2.75,0.00,2.00,
328,16.75,1.00,2.00,
329,2.50,0.00,2.00,
330,233.75,839.00,0.32,
331,11.50,0.00,2.00,
332,7.00,0.00,2.00,
333,327.75,800.00,0.40,
334,329.25,774.00,0.45,
335,242.00,766.00,0.47,
336,3.00,0.00,2.00,
337,5.75,0.00,2.00,
338,0.25,0.00,2.00,
339,9.75,0.00,2.00,
340,239.75,817.00,0.37,
341,12.00,2.00,2.00,
342,24.50,1.00,2.00,
343,5.25,0.00,2.00,
344,0.75,0.00,2.00,
345,211.00,806.00,0.39,
346,211.25,783.00,0.43,
347,224.50,801.00,0.40,
348,24.25,5.00,1.99,
349,68.50,15.00,1.97,
350,193.00,805.00,0.39,
351,192.50,818.00,0.36,
352,21.50,2.00,2.00,
353,226.25,806.00,0.39,
354,296.00,804.00,0.39,
355,200.50,778.00,0.44,
356,261.75,805.00,0.39,
357,286.75,831.00,0.34,
358,6.25,0.00,2.00,
359,275.75,817.00,0.37,
360,288.50,795.00,0.41,
361,42.50,8.00,1.98,
362,179.25,835.00,0.33,
363,42.25,5.00,1.99,
364,31.75,4.00,1.99,
365,0.25,0.00,2.00,
366,6.25,0.00,2.00,
367,38.00,5.00,1.99,
368,239.75,780.00,0.44,
369,0.75,0.00,2.00,
370,0.75,0.00,2.00,
371,211.75,801.00,0.40,
372,252.25,834.00,0.33,
373,298.50,809.00,0.38,
374,75.25,11.00,1.98,
375,262.75,753.00,0.49,
376,2.00,0.00,2.00,
377,238.00,792.00,0.42,
