r.num,Duration,Epidemic,Rt,ep_high,ep_low,
9622,43.50,2.00,1.98,2.00,0.00,
9623,12.00,0.00,2.06,0.00,0.00,
9624,14.00,0.00,1.97,0.00,0.00,
9625,22.25,2.00,1.97,1.00,1.00,
9626,318.25,678.00,0.47,420.00,258.00,
9627,28.25,1.00,2.00,1.00,0.00,
9628,229.75,671.00,0.49,416.00,255.00,
9629,248.50,722.00,0.39,451.00,271.00,
9630,272.25,634.00,0.53,403.00,231.00,
9631,228.50,728.00,0.38,478.00,250.00,
9632,249.50,654.00,0.49,405.00,249.00,
9633,22.50,0.00,1.97,0.00,0.00,
9634,226.25,676.00,0.45,414.00,262.00,
9635,252.75,664.00,0.48,461.00,203.00,
9636,262.25,678.00,0.48,420.00,258.00,
9637,265.50,687.00,0.44,446.00,241.00,
9638,251.25,728.00,0.40,461.00,267.00,
9639,24.75,0.00,2.02,0.00,0.00,
9640,230.50,713.00,0.38,414.00,299.00,
9641,215.00,685.00,0.47,432.00,253.00,
9642,27.75,0.00,1.92,0.00,0.00,
9643,11.00,0.00,2.01,0.00,0.00,
9644,30.00,1.00,2.02,1.00,0.00,
9645,4.75,0.00,2.02,0.00,0.00,
9646,305.00,722.00,0.35,436.00,286.00,
9647,217.25,705.00,0.40,433.00,272.00,
9648,294.75,662.00,0.50,425.00,237.00,
9649,9.25,0.00,1.99,0.00,0.00,
9650,284.75,696.00,0.41,452.00,244.00,
9651,18.25,0.00,2.03,0.00,0.00,
9652,238.50,681.00,0.46,416.00,265.00,
9653,14.75,1.00,1.95,1.00,0.00,
9654,13.00,0.00,2.00,0.00,0.00,
9655,38.00,2.00,2.02,2.00,0.00,
9656,28.00,0.00,2.04,0.00,0.00,
9657,282.00,698.00,0.43,437.00,261.00,
9658,16.75,0.00,2.04,0.00,0.00,
9659,285.50,684.00,0.43,452.00,232.00,
9660,11.00,0.00,1.97,0.00,0.00,
9661,230.75,669.00,0.50,438.00,231.00,
