,Duration,Epidemic,ep_high,ep_low,Rt
899,12.0,0.0,0.0,0.0,1.9980000000000002
900,368.5,690.0,453.0,237.0,0.434
901,5.25,0.0,0.0,0.0,2.016
902,17.25,1.0,1.0,0.0,2.023
903,222.0,683.0,427.0,256.0,0.475
904,28.25,0.0,0.0,0.0,1.972
905,267.5,617.0,403.0,214.0,0.5409999999999999
906,252.25,696.0,448.0,248.0,0.406
907,326.5,669.0,443.0,226.0,0.451
908,17.0,0.0,0.0,0.0,1.9740000000000002
909,248.75,725.0,478.0,247.0,0.365
910,9.0,0.0,0.0,0.0,2.004
911,13.5,0.0,0.0,0.0,1.9380000000000002
912,265.5,664.0,424.0,240.0,0.468
913,354.25,710.0,472.0,238.0,0.41200000000000003
914,25.75,1.0,1.0,0.0,1.969
915,283.0,603.0,393.0,210.0,0.569
916,302.25,697.0,442.0,255.0,0.43899999999999995
917,329.5,685.0,433.0,252.0,0.445
918,14.75,0.0,0.0,0.0,1.9700000000000002
919,335.75,655.0,400.0,255.0,0.489
920,26.0,0.0,0.0,0.0,1.964
921,266.75,679.0,438.0,241.0,0.46499999999999997
922,284.5,719.0,456.0,263.0,0.369
923,219.75,712.0,457.0,255.0,0.402
924,268.25,716.0,453.0,263.0,0.392
925,225.5,641.0,407.0,234.0,0.531
926,255.75,702.0,456.0,246.0,0.438
927,250.25,743.0,447.0,296.0,0.361
928,301.0,691.0,440.0,251.0,0.41700000000000004
929,9.25,0.0,0.0,0.0,2.02
930,199.75,680.0,457.0,223.0,0.438
931,237.0,688.0,440.0,248.0,0.45399999999999996
932,311.5,727.0,456.0,271.0,0.369
933,238.5,711.0,449.0,262.0,0.401
934,310.5,670.0,442.0,228.0,0.45
935,13.25,0.0,0.0,0.0,2.012
936,15.5,1.0,1.0,0.0,1.983
937,252.5,645.0,382.0,263.0,0.497
938,332.75,689.0,438.0,251.0,0.435
939,257.25,724.0,452.0,272.0,0.382
940,296.5,649.0,400.0,249.0,0.503
941,331.75,653.0,429.0,224.0,0.485
942,317.0,690.0,437.0,253.0,0.434
943,19.75,1.0,1.0,0.0,1.921
944,260.0,700.0,435.0,265.0,0.406
945,17.5,1.0,0.0,1.0,2.007
946,15.75,0.0,0.0,0.0,2.004
947,9.75,0.0,0.0,0.0,1.9940000000000002
948,293.5,702.0,445.0,257.0,0.42600000000000005
949,241.25,692.0,428.0,264.0,0.426
950,257.0,675.0,430.0,245.0,0.447
951,246.0,704.0,444.0,260.0,0.398
952,268.25,698.0,418.0,280.0,0.436
953,322.75,668.0,427.0,241.0,0.45
954,44.0,4.0,1.0,3.0,1.9900000000000002
955,225.5,679.0,462.0,217.0,0.475
956,11.5,0.0,0.0,0.0,1.9780000000000002
957,322.25,650.0,417.0,233.0,0.49
958,246.75,666.0,433.0,233.0,0.474
959,326.25,708.0,465.0,243.0,0.398
960,235.25,734.0,468.0,266.0,0.34
961,33.5,2.0,1.0,1.0,2.024
962,27.25,0.0,0.0,0.0,1.952
963,273.0,684.0,450.0,234.0,0.446
964,287.0,692.0,430.0,262.0,0.426
965,10.75,0.0,0.0,0.0,2.016
966,291.0,706.0,463.0,243.0,0.39
967,248.75,633.0,397.0,236.0,0.511
968,252.75,700.0,446.0,254.0,0.426
969,289.0,708.0,455.0,253.0,0.42200000000000004
970,243.75,677.0,438.0,239.0,0.46299999999999997
971,12.0,1.0,1.0,0.0,1.989
972,322.0,665.0,456.0,209.0,0.475
973,254.25,684.0,435.0,249.0,0.46799999999999997
974,389.25,705.0,428.0,277.0,0.397
975,226.75,683.0,433.0,250.0,0.45499999999999996
976,273.0,620.0,425.0,195.0,0.5800000000000001
977,20.75,0.0,0.0,0.0,1.9540000000000002
978,6.0,0.0,0.0,0.0,1.9460000000000002
979,224.5,727.0,457.0,270.0,0.375
980,6.5,0.0,0.0,0.0,2.018
981,339.75,695.0,456.0,239.0,0.423
982,249.0,671.0,442.0,229.0,0.445
983,228.5,736.0,460.0,276.0,0.354
984,315.75,727.0,452.0,275.0,0.381
985,433.25,624.0,400.0,224.0,0.5760000000000001
986,245.75,679.0,447.0,232.0,0.441
987,285.75,680.0,412.0,268.0,0.436
988,248.25,669.0,437.0,232.0,0.461
989,16.5,0.0,0.0,0.0,1.9860000000000002
990,317.5,656.0,415.0,241.0,0.488
991,29.75,2.0,1.0,1.0,2.0220000000000002
992,286.5,704.0,456.0,248.0,0.42800000000000005
993,236.75,747.0,482.0,265.0,0.307
994,12.25,0.0,0.0,0.0,2.024
995,226.0,734.0,447.0,287.0,0.336
996,294.25,627.0,405.0,222.0,0.523
997,263.75,686.0,458.0,228.0,0.438
998,236.5,711.0,450.0,261.0,0.399
999,346.0,673.0,416.0,257.0,0.457
1000,192.25,691.0,453.0,238.0,0.45299999999999996
1001,191.0,674.0,434.0,240.0,0.44000000000000006
1002,207.25,684.0,444.0,240.0,0.45399999999999996
1003,301.75,681.0,445.0,236.0,0.45699999999999996
1004,207.25,730.0,459.0,271.0,0.362
1005,9.0,0.0,0.0,0.0,1.952
1006,14.75,0.0,0.0,0.0,1.9780000000000002
1007,29.0,0.0,0.0,0.0,1.964
1008,289.5,691.0,463.0,228.0,0.42300000000000004
1009,256.0,649.0,428.0,221.0,0.515
1010,207.5,692.0,455.0,237.0,0.43
1011,242.0,659.0,418.0,241.0,0.509
1012,309.0,646.0,392.0,254.0,0.534
1013,25.75,1.0,1.0,0.0,2.015
1014,14.25,0.0,0.0,0.0,2.022
1015,358.25,689.0,429.0,260.0,0.42500000000000004
1016,246.75,630.0,392.0,238.0,0.536
1017,22.0,2.0,1.0,1.0,2.084
1018,240.5,625.0,410.0,215.0,0.5329999999999999
1019,16.75,0.0,0.0,0.0,1.9620000000000002
1020,275.75,631.0,415.0,216.0,0.517
1021,20.75,1.0,1.0,0.0,2.021
1022,206.75,24.0,18.0,6.0,1.896
1023,20.75,1.0,1.0,0.0,1.969
1024,250.0,684.0,428.0,256.0,0.41400000000000003
1025,268.0,667.0,408.0,259.0,0.465
1026,244.25,661.0,429.0,232.0,0.475
1027,258.5,623.0,398.0,225.0,0.569
1028,9.75,0.0,0.0,0.0,1.98
1029,41.75,2.0,1.0,1.0,1.964
1030,102.5,11.0,9.0,2.0,1.955
1031,18.5,2.0,2.0,0.0,2.0780000000000003
1032,235.25,686.0,435.0,251.0,0.482
1033,227.5,723.0,486.0,237.0,0.365
1034,280.75,670.0,427.0,243.0,0.474
1035,11.75,0.0,0.0,0.0,2.018
1036,212.25,731.0,449.0,282.0,0.363
1037,202.5,712.0,439.0,273.0,0.374
1038,19.0,0.0,0.0,0.0,2.016
1039,232.0,697.0,450.0,247.0,0.431
1040,21.75,0.0,0.0,0.0,2.012
1041,18.0,0.0,0.0,0.0,1.9860000000000002
1042,267.5,758.0,482.0,276.0,0.328
1043,9.25,1.0,1.0,0.0,2.027
1044,265.25,689.0,445.0,244.0,0.45299999999999996
1045,6.25,0.0,0.0,0.0,1.9700000000000002
1046,250.25,744.0,483.0,261.0,0.33999999999999997
1047,293.75,699.0,452.0,247.0,0.419
1048,12.25,0.0,0.0,0.0,2.032
1049,212.5,702.0,439.0,263.0,0.394
1050,267.0,649.0,408.0,241.0,0.501
1051,285.0,726.0,450.0,276.0,0.362
1052,250.5,691.0,425.0,266.0,0.437
1053,17.0,0.0,0.0,0.0,1.992
1054,24.25,0.0,0.0,0.0,2.006
1055,8.75,0.0,0.0,0.0,1.968
1056,43.5,3.0,0.0,3.0,2.035
1057,232.25,702.0,459.0,243.0,0.378
1058,9.5,0.0,0.0,0.0,1.988
1059,250.25,746.0,469.0,277.0,0.37
1060,271.75,612.0,387.0,225.0,0.59
1061,233.25,704.0,426.0,278.0,0.416
1062,53.0,12.0,8.0,4.0,1.8780000000000001
1063,352.75,664.0,389.0,275.0,0.474
1064,7.25,0.0,0.0,0.0,1.992
1065,326.25,670.0,428.0,242.0,0.45
1066,295.5,713.0,456.0,257.0,0.397
1067,10.5,0.0,0.0,0.0,2.022
1068,234.0,724.0,458.0,266.0,0.39
1069,22.75,0.0,0.0,0.0,2.0
1070,246.5,692.0,408.0,284.0,0.42200000000000004
1071,218.0,678.0,447.0,231.0,0.45999999999999996
1072,19.5,0.0,0.0,0.0,2.06
1073,6.75,0.0,0.0,0.0,2.048
1074,222.25,675.0,439.0,236.0,0.459
1075,252.0,669.0,432.0,237.0,0.473
1076,32.75,1.0,1.0,0.0,2.029
1077,195.0,695.0,437.0,258.0,0.427
1078,16.25,0.0,0.0,0.0,2.03
1079,265.0,668.0,445.0,223.0,0.476
1080,254.5,672.0,413.0,259.0,0.46
1081,208.5,683.0,449.0,234.0,0.433
1082,27.0,0.0,0.0,0.0,1.996
1083,226.25,722.0,462.0,260.0,0.366
1084,242.0,690.0,460.0,230.0,0.42400000000000004
1085,270.25,699.0,441.0,258.0,0.41100000000000003
1086,14.0,0.0,0.0,0.0,1.992
1087,28.75,1.0,1.0,0.0,2.017
1088,13.5,1.0,0.0,1.0,2.0829999999999997
1089,23.0,2.0,2.0,0.0,1.988
1090,252.0,666.0,431.0,235.0,0.514
1091,241.0,736.0,462.0,274.0,0.358
1092,36.75,0.0,0.0,0.0,1.984
1093,281.25,689.0,433.0,256.0,0.45499999999999996
1094,269.75,690.0,436.0,254.0,0.436
1095,265.75,675.0,434.0,241.0,0.46299999999999997
1096,325.25,689.0,475.0,214.0,0.439
1097,244.0,657.0,436.0,221.0,0.497
1098,265.25,693.0,425.0,268.0,0.429
1099,266.5,704.0,449.0,255.0,0.42000000000000004
1100,227.0,714.0,445.0,269.0,0.388
1101,307.0,773.0,468.0,305.0,0.307
1102,8.5,0.0,0.0,0.0,2.028
1103,279.5,674.0,417.0,257.0,0.47
1104,292.0,648.0,407.0,241.0,0.514
1105,22.75,1.0,1.0,0.0,2.031
1106,14.25,0.0,0.0,0.0,2.05
1107,208.0,706.0,443.0,263.0,0.41600000000000004
1108,9.75,0.0,0.0,0.0,2.034
1109,325.75,675.0,424.0,251.0,0.46099999999999997
