,Duration,Epidemic,ep_high,ep_low,Rt
3316,341.25,718,447,271,0.388
3317,202.25,689,440,249,0.431
3318,14,0,0,0,2
3319,44.5,3,2,1,1.993
3320,269.25,709,450,259,0.391
3321,236.75,717,445,272,0.393
3322,307,732,443,289,0.382
3323,8.5,0,0,0,2
3324,239.25,707,437,270,0.419
3325,274.5,712,437,275,0.414
3326,202.5,691,436,255,0.437
3327,239.25,651,421,230,0.507
3328,289.75,652,428,224,0.492
3329,25.75,1,0,1,1.999
3330,204.25,725,440,285,0.395
3331,53.75,3,2,1,1.993
3332,253.5,710,446,264,0.398
3333,24.5,0,0,0,2
3334,315.75,701,449,252,0.401
3335,261,702,440,262,0.418
3336,235.25,709,444,265,0.403
3337,237.5,648,427,221,0.498
3338,33.25,0,0,0,2
3339,273,669,428,241,0.475
3340,255.5,701,443,258,0.413
3341,201.75,735,460,275,0.345
3342,272.5,714,456,258,0.374
3343,55.75,6,6,0,1.982
3344,40.25,3,3,0,1.991
3345,317.25,715,445,270,0.395
3346,254.5,694,449,245,0.408
3347,9.5,0,0,0,2
3348,273,701,448,253,0.403
3349,6.25,0,0,0,2
3350,347.25,670,431,239,0.468
3351,45,3,2,1,1.993
3352,271,736,457,279,0.35
3353,7,0,0,0,2
3354,25,1,1,0,1.997
3355,279,696,439,257,0.426
3356,300.5,748,454,294,0.344
3357,249.5,703,447,256,0.403
3358,9.75,0,0,0,2
3359,293.75,653,421,232,0.505
3360,261.25,714,443,271,0.4
3361,24.75,0,0,0,2
3362,18.75,0,0,0,2
3363,12,0,0,0,2
3364,12,0,0,0,2
3365,289.5,695,428,267,0.449
3366,245.25,667,438,229,0.457
3367,12,0,0,0,2
3368,249.5,680,426,254,0.468
3369,326.25,672,421,251,0.486
3370,254,632,420,212,0.528
3371,253.75,664,429,235,0.478
3372,246.5,720,443,277,0.394
3373,276,703,454,249,0.389
3374,21.75,0,0,0,2
3375,284.25,665,421,244,0.493
3376,277.25,639,420,219,0.521
3377,259,649,425,224,0.501
3378,15,0,0,0,2
3379,202.25,710,449,261,0.392
3380,263.75,617,404,213,0.575
3381,346,671,431,240,0.467
3382,235.75,704,444,260,0.408
3383,39.75,3,2,1,1.993
3384,11,0,0,0,2
3385,41.25,1,0,1,1.999
3386,230.5,692,428,264,0.452
3387,307.5,677,432,245,0.459
3388,11.5,0,0,0,2
3389,276.25,671,435,236,0.459
3390,313.5,699,441,258,0.419
3391,267.5,660,429,231,0.482
3392,241.75,696,436,260,0.432
3393,288.25,621,412,209,0.555
3394,297.5,664,423,241,0.49
3395,13.75,0,0,0,2
3396,12.5,0,0,0,2
3397,261.5,684,436,248,0.444
3398,219.25,658,428,230,0.486
3399,9.75,0,0,0,2
3400,29,0,0,0,2
3401,312,655,414,241,0.517
3402,226.25,720,445,275,0.39
3403,287.25,698,450,248,0.402
3404,221.75,688,438,250,0.436
3405,17.25,1,1,0,1.997
3406,7.25,0,0,0,2
3407,85.75,6,5,1,1.984
3408,26,1,1,0,1.997
3409,7.5,0,0,0,2
3410,14.5,0,0,0,2
3411,241.75,673,430,243,0.467
3412,279.5,623,410,213,0.557
3413,247,670,441,229,0.448
3414,262.75,657,415,242,0.513
3415,291.25,713,447,266,0.393
3416,288,721,452,269,0.375
3417,309.5,666,433,233,0.468
3418,424.25,673,436,237,0.455
3419,55.75,2,0,2,1.998
3420,224.75,687,447,240,0.419
3421,9.75,0,0,0,2
3422,245.75,636,419,217,0.526
3423,257,679,445,234,0.431
3424,294.75,662,427,235,0.484
3425,27.25,0,0,0,2
3426,331.25,670,440,230,0.45
3427,272.5,685,432,253,0.451
3428,291.25,715,452,263,0.381
3429,17.25,0,0,0,2
3430,4.5,0,0,0,2
3431,288,648,424,224,0.504
3432,22.75,0,0,0,2
3433,272.5,677,429,248,0.465
3434,274,709,451,258,0.389
3435,313,675,427,248,0.471
3436,408.25,663,427,236,0.483
3437,250.5,666,418,248,0.498
3438,313.5,653,421,232,0.505
3439,218.75,725,445,280,0.385
3440,337.5,683,437,246,0.443
3441,211.5,705,451,254,0.393
3442,244.5,645,412,233,0.531
3443,234,711,449,262,0.391
3444,195.25,659,424,235,0.493
3445,23.5,1,1,0,1.997
3446,253,673,439,234,0.449
3447,283.75,726,449,277,0.376
3448,253.5,721,445,276,0.389
3449,298.25,688,438,250,0.436
3450,262.5,697,435,262,0.433
3451,286,669,428,241,0.475
3452,296.25,659,437,222,0.467
3453,244,714,446,268,0.394
3454,14,1,0,1,1.999
3455,21,1,1,0,1.997
3456,228.25,679,430,249,0.461
3457,313.25,689,438,251,0.435
3458,295.5,693,432,261,0.443
3459,319.25,677,440,237,0.443
3460,292.5,686,432,254,0.45
3461,206,702,451,251,0.396
3462,301,671,429,242,0.471
3463,263.5,677,439,238,0.445
3464,10.75,0,0,0,2
3465,13.5,0,0,0,2
3466,32,1,1,0,1.997
3467,248.75,668,426,242,0.48
3468,239.75,657,422,235,0.499
3469,29,1,1,0,1.997
3470,323.5,699,439,260,0.423
3471,61.75,2,0,2,1.998
3472,258.75,671,424,247,0.481
3473,285.5,689,440,249,0.431
3474,46.75,7,5,2,1.983
3475,19,0,0,0,2
3476,254,720,453,267,0.374
3477,20.25,0,0,0,2
3478,75.75,8,6,2,1.98
3479,11.5,0,0,0,2
3480,291.5,750,466,284,0.318
3481,8.75,0,0,0,2
3482,235.5,734,459,275,0.348
3483,246.25,732,464,268,0.34
3484,250.25,657,428,229,0.487
3485,8.5,0,0,0,2
3486,273.75,648,430,218,0.492
3487,278.5,667,437,230,0.459
3488,264.25,710,444,266,0.402
3489,231.5,728,452,276,0.368
3490,362,647,434,213,0.485
3491,10.5,0,0,0,2
3492,256.25,710,445,265,0.4
3493,49,2,2,0,1.994
3494,355.25,659,435,224,0.471
3495,245,662,426,236,0.486
3496,7,0,0,0,2
3497,237.75,710,454,256,0.382
3498,14,0,0,0,2
3499,23.25,0,0,0,2
3500,231.5,722,461,261,0.356
3501,6,0,0,0,2
3502,234,687,442,245,0.429
3503,255.25,658,425,233,0.492
3504,260,692,441,251,0.426
3505,307.5,683,433,250,0.451
3506,261.5,710,441,269,0.408
3507,228.25,684,441,243,0.434
3508,290.5,716,445,271,0.394
3509,25.75,0,0,0,2
3510,269.5,701,448,253,0.403
3511,14.5,0,0,0,2
3512,266,662,426,236,0.486
3513,227.5,660,429,231,0.482
3514,247.25,688,436,252,0.44
3515,9.25,0,0,0,2
3516,206.75,679,436,243,0.449
